V1,V2,V3,V4,V5,V6,V7,V8,V9,Y1,Y2,Y3,Y
0.32,0.540887702,0.540887702,0.540887702,0.540887702,0.037096057,0.037551933,0.031895316,0.029522064,1,1,0,3
0.92,0.441689851,0.441689851,0.441689851,0.441689851,0.049880242,0.047325081,0.041191073,0.039134941,1,0,0,1
0.36,0.358957725,0.358957725,0.358957725,0.358957725,0.065064263,0.062819769,0.057331626,0.052447861,1,1,0,3
0.253333333,0.270594767,0.270594767,0.270594767,0.270594767,0.083182903,0.074704211,0.080575319,0.069929296,1,1,1,7
0.706666667,0.558873477,0.558873477,0.558873477,0.558873477,0.040130984,0.036154559,0.037132084,0.032550482,0,0,0,0
0.626666667,0.497082063,0.497082063,0.497082063,0.497082063,0.04699635,0.044603835,0.047076391,0.041805457,1,1,0,3
0.28,0.32433263,0.32433263,0.32433263,0.32433263,0.089624434,0.080978723,0.082725807,0.072469304,1,0,1,5
0.733333333,0.74487631,0.74487631,0.74487631,0.74487631,0.062283953,0.056826464,0.054730051,0.049047491,0,1,1,6
0.72,0.579868254,0.579868254,0.579868254,0.579868254,0.013828074,0.012757965,0.012650017,0.010994312,0,1,0,2
0.053333333,0.351536305,0.351536305,0.351536305,0.351536305,0.413287849,0.417611976,0.414286244,0.417163469,1,1,1,7
0.44,0.525180609,0.525180609,0.525180609,0.525180609,0.058122365,0.060624656,0.053191785,0.051055562,1,1,0,3
0.853333333,0.299005522,0.299005522,0.299005522,0.299005522,0.071540479,0.064851585,0.064910997,0.057378317,1,0,1,5
0.706666667,0.432491266,0.432491266,0.432491266,0.432491266,0.02903168,0.026546808,0.028926456,0.024968494,1,0,0,1
0.2,0.538737895,0.538737895,0.538737895,0.538737895,0.08208786,0.073433837,0.080302214,0.070390534,0,1,1,6
0.986666667,0.786277836,0.786277836,0.786277836,0.786277836,0.039888147,0.036118561,0.026298446,0.026571375,0,0,1,4
0.626666667,0.573009619,0.573009619,0.573009619,0.573009619,0.042323575,0.038910765,0.041692098,0.036115204,0,0,0,0
0.866666667,0.530653633,0.530653633,0.530653633,0.530653633,0.060784238,0.056852184,0.050874865,0.047423519,0,1,1,6
0.146666667,0.563939003,0.563939003,0.563939003,0.563939003,0.038406476,0.037276392,0.043275978,0.040580746,0,0,0,0
0.693333333,0.631780757,0.631780757,0.631780757,0.631780757,0.040363177,0.036170644,0.038037384,0.032992329,0,1,0,2
0.586666667,0.391342633,0.391342633,0.391342633,0.391342633,0.060295851,0.05846298,0.059296152,0.053490125,1,0,1,5
0.16,0.350549776,0.350549776,0.350549776,0.350549776,0.0933158,0.088807479,0.096178797,0.089471958,1,0,1,5
0.533333333,0.226381731,0.226381731,0.226381731,0.226381731,0.068420294,0.069696612,0.063211289,0.059880053,1,1,1,7
0.2,0.536431427,0.536431427,0.536431427,0.536431427,0.070853235,0.063746123,0.069694228,0.061308749,0,0,0,0
0.746666667,0.486665803,0.486665803,0.486665803,0.486665803,0.076398465,0.068759047,0.07009472,0.06168855,1,1,1,7
0.293333333,0.679094571,0.679094571,0.679094571,0.679094571,0.042413348,0.043095202,0.036415607,0.034011179,0,1,0,2
0.96,0.414859914,0.414859914,0.414859914,0.414859914,0.078713017,0.072630792,0.06679876,0.061610926,1,1,1,7
0.813333333,0.380942387,0.380942387,0.380942387,0.380942387,0.043207403,0.039005389,0.039896202,0.034890639,1,1,0,3
0.226666667,0.485231525,0.485231525,0.485231525,0.485231525,0.080469185,0.071885587,0.077534915,0.06766737,1,1,1,7
0.2,0.340508048,0.340508048,0.340508048,0.340508048,0.057175198,0.052422998,0.058684059,0.052364999,1,0,0,1
0.933333333,0.379608392,0.379608392,0.379608392,0.379608392,0.047793391,0.04527441,0.039132133,0.037243337,1,0,0,1
0.053333333,0.206574397,0.206574397,0.206574397,0.206574397,0.427861074,0.432464122,0.421266651,0.424930486,1,1,0,3
0.813333333,0.565436885,0.565436885,0.565436885,0.565436885,0.064545518,0.060005968,0.054011424,0.050360238,0,0,1,4
0.013333333,0.528534496,0.528534496,0.528534496,0.528534496,0.845837678,0.847249562,0.843846779,0.845122493,1,1,1,7
0.08,0.51352273,0.51352273,0.51352273,0.51352273,0.218586959,0.22243516,0.22746441,0.229651363,1,1,0,3
0.72,0.528599877,0.528599877,0.528599877,0.528599877,0.038717593,0.035996274,0.038665975,0.033683565,1,1,0,3
0.986666667,0.444550145,0.444550145,0.444550145,0.444550145,0.080289402,0.075872856,0.072790949,0.066862771,1,0,1,5
0.586666667,0.688019603,0.688019603,0.688019603,0.688019603,0.058273267,0.054808682,0.057916787,0.051434277,0,1,1,6
0.053333333,0.331071606,0.331071606,0.331071606,0.331071606,0.391109888,0.395068923,0.392168021,0.394385768,1,0,1,5
0.653333333,0.604885501,0.604885501,0.604885501,0.604885501,0.053119415,0.048525378,0.051885728,0.045275379,0,1,1,6
0.333333333,0.581856294,0.581856294,0.581856294,0.581856294,0.08551655,0.084654325,0.075384244,0.070394166,0,0,1,4
0.2,0.424580965,0.424580965,0.424580965,0.424580965,0.079060518,0.071626287,0.079254742,0.069690044,1,1,1,7
0.106666667,0.425414475,0.425414475,0.425414475,0.425414475,0.191683647,0.192180488,0.198161388,0.195867952,1,1,1,7
0.533333333,0.411931584,0.411931584,0.411931584,0.411931584,0.059876851,0.060698555,0.057578692,0.053924477,1,1,1,7
